Ę,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0]"
Ii,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 1, 0, 1, 0]"
N,"[1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
T’,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
Zh,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 2, 2, 2]"
Aa,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]"
Ea,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0]"
O,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1]"
Uu,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
ʔ,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2]"
D,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
K,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0]"
Ǫ,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1]"
W,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
Ąą,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]"
G,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0]"
S,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
Ts,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
Wą,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
Wii,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
Ae,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]"
Dz,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
L,"[1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 2, 2, 2, 2]"
Waa,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
Y,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 1, 0, 1, 0]"
Ai,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]"
H,"[0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2]"
H,"[1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0]"
Sh,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 2, 2, 2]"
Wąą,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
Z,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
B,"[1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 2, 2, 2]"
E,"[0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0]"
M,"[1, 1, 0, 2, 0, 0, 0, 1, 2, 0, 2, 2, 2, 2]"
T,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
We,"[0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]"
